Outlet_ID,area(sqft),revenue_totals,volume_totals,units_totals,revenue_IP1,revenue_IP2,revenue_IP3,revenue_IP4,revenue_IP5,revenue_BP1,revenue_BP2,revenue_BP3,revenue_BP4,revenue_BP5,volume_IP1,volume_IP2,volume_IP3,volume_IP4,volume_IP5,volume_BP1,volume_BP2,volume_BP3,volume_BP4,volume_BP5,units_IP1,units_IP2,units_IP3,units_IP4,units_IP5,units_BP1,units_BP2,units_BP3,units_BP4,units_BP5,revenue_month1,revenue_month2,revenue_month3,volume_month1,volume_month2,volume_month3,volume_week7
ID7203,0.5634476442454461,0.0559839238901578,0.1139495269792185,0.3016412210158867,0.3629050661798265,0.3668225473927691,0.4548263317885085,0.270774060629844,0.3479505319436194,0.0,0.0,0.0,0.0,0.0,0.3629050661798266,0.3668225473927691,0.4548263317885085,0.270774060629844,0.3479505319436194,0.0,0.0,0.0,0.0,0.0,0.3629050661798265,0.3668225473927691,0.4548263317885085,0.270774060629844,0.3479505319436193,0.0,0.0,0.0,0.0,0.0,0.0616021778891936,0.06498065855515019,0.0589839639485197,0.1213591450539177,0.1239797438188859,0.11789287071039632,0.15136238146681072
ID1878,0.4085682303856721,0.0594066457295796,0.1207316753583689,0.3137838167537793,0.4484253765403925,0.3329813445969729,0.3416554542283351,0.3901697243206122,0.3644218825943727,0.0,0.0,0.0,0.0,0.0,0.4484253765403926,0.3329813445969729,0.3416554542283351,0.3901697243206122,0.3644218825943727,0.0,0.0,0.0,0.0,0.0,0.4484253765403925,0.3329813445969729,0.3416554542283351,0.3901697243206122,0.3644218825943727,0.0,0.0,0.0,0.0,0.0,0.061363648922199,0.07018032631799119,0.064099524553779,0.1213430261609633,0.1351653261840929,0.12650373559579584,0.14482054975393113
ID1740,0.5518469522743461,0.0639202809396159,0.1288398542938756,0.3283005057850929,0.4350182565038795,0.4081057977573289,0.3905416853540638,0.3527911311684489,0.3681481881514284,0.0,0.0,0.0,0.0,0.0,0.4350182565038795,0.4081057977573288,0.3905416853540639,0.3527911311684489,0.3681481881514284,0.0,0.0,0.0,0.0,0.0,0.4350182565038795,0.4081057977573289,0.3905416853540638,0.3527911311684489,0.3681481881514284,0.0,0.0,0.0,0.0,0.0,0.0827981013462611,0.06274057468002209,0.0643320500358362,0.1621883009074937,0.1210455764075067,0.12588641256173233,0.10010803024846952
ID4366,0.509921644448967,0.073100852602364,0.1430802693990932,0.353796203327484,0.3725467822911912,0.3147282144114245,0.4600588030099167,0.4296576081624644,0.51433817573041,0.0,0.0,0.0,0.0,0.0,0.3725467822911912,0.3147282144114245,0.4600588030099168,0.4296576081624644,0.51433817573041,0.0,0.0,0.0,0.0,0.0,0.3725467822911912,0.3147282144114245,0.4600588030099168,0.4296576081624644,0.5143381757304099,0.0,0.0,0.0,0.0,0.0,0.0906262720777438,0.05453098406598219,0.092947274163045,0.1726494624349199,0.1065385761096217,0.17403760921869063,0.16270555755611574
ID8358,0.4047013330619721,0.0688328615095283,0.1382268927382793,0.3451068341982039,0.4026129621177544,0.4808166138683562,0.381322569392535,0.3061414696360247,0.4788032618674732,0.0,0.0,0.0,0.0,0.0,0.4026129621177545,0.4808166138683561,0.381322569392535,0.3061414696360247,0.4788032618674731,0.0,0.0,0.0,0.0,0.0,0.4026129621177544,0.4808166138683562,0.381322569392535,0.3061414696360247,0.4788032618674731,0.0,0.0,0.0,0.0,0.0,0.0956998476730071,0.055567272383263484,0.0739385439710245,0.1839326875030223,0.1117664581471551,0.14274408003039132,0.16168527187612533
ID4722,0.5566296937010278,0.0763479419157283,0.1502030975654498,0.3665487439826587,0.4052373345504336,0.4155478453260924,0.4189465291274231,0.4446679093495536,0.4765350758762219,0.0,0.0,0.0,0.0,0.0,0.4052373345504336,0.4155478453260924,0.4189465291274231,0.4446679093495536,0.4765350758762219,0.0,0.0,0.0,0.0,0.0,0.4052373345504336,0.4155478453260924,0.4189465291274231,0.4446679093495536,0.4765350758762218,0.0,0.0,0.0,0.0,0.0,0.0970711589929104,0.08210545318519788,0.0674068575868049,0.1854478634407388,0.153410783437593,0.13316765860453342,0.16882727163605812
ID5579,0.4132492113564668,0.048137193748327,0.1003747477659268,0.2773372620041851,0.4205271565495208,0.2440287625081711,0.3280510290526735,0.3226233689787109,0.3657179888750878,0.0,0.0,0.0,0.0,0.0,0.4205271565495208,0.2440287625081711,0.3280510290526736,0.3226233689787109,0.3657179888750878,0.0,0.0,0.0,0.0,0.0,0.4205271565495208,0.2440287625081711,0.3280510290526735,0.3226233689787109,0.3657179888750877,0.0,0.0,0.0,0.0,0.0,0.0562753379467352,0.050780731286273285,0.0554669020493245,0.1131062718612485,0.0994638069705093,0.11105483094846143,0.08810466930740601
ID3876,0.4009361961941589,0.0600204542484814,0.1198511491391284,0.312207343736804,0.3751141031492469,0.3056770754764419,0.4996760851148652,0.3052585107426665,0.3763028568342604,0.0,0.0,0.0,0.0,0.0,0.3751141031492469,0.3056770754764418,0.4996760851148652,0.3052585107426666,0.3763028568342604,0.0,0.0,0.0,0.0,0.0,0.3751141031492469,0.3056770754764419,0.4996760851148652,0.3052585107426665,0.3763028568342604,0.0,0.0,0.0,0.0,0.0,0.0387310258955887,0.06946256213173359,0.0891174426938669,0.0826254452844178,0.1312779267202859,0.16599658098011902,0.14055935661985353
ID7275,0.309250025440114,0.052456486438121,0.1088445713986215,0.2925014310246135,0.3446485623003195,0.4121788102780711,0.4026511187521802,0.3341999411360737,0.2506345520332667,0.0,0.0,0.0,0.0,0.0,0.3446485623003195,0.4121788102780711,0.4026511187521802,0.3341999411360738,0.2506345520332667,0.0,0.0,0.0,0.0,0.0,0.3446485623003195,0.4121788102780711,0.4026511187521802,0.3341999411360737,0.2506345520332667,0.0,0.0,0.0,0.0,0.0,0.0590299330829546,0.04329324442430879,0.0736576896632848,0.1223101597382292,0.0871462615430443,0.14068633658351273,0.11901332373064452
ID3726,0.5509311081713646,0.0522956408429516,0.1095102072905474,0.2936931695553032,0.4578388863532633,0.4171066525871172,0.3176857527283599,0.2321691356813499,0.3494626559377869,0.0,0.0,0.0,0.0,0.0,0.4578388863532633,0.4171066525871171,0.3176857527283599,0.2321691356813499,0.3494626559377869,0.0,0.0,0.0,0.0,0.0,0.4578388863532633,0.4171066525871172,0.3176857527283599,0.2321691356813499,0.3494626559377868,0.0,0.0,0.0,0.0,0.0,0.05921044149041,0.06323788892273749,0.0520382910197747,0.1213752639468721,0.121239201668156,0.10738255033557043,0.07568119073340532
